time,lat,lon,vel
07:31:58,50.0543895,14.5180636667,
07:31:59,50.054449,14.5179378333,11.663511400115237
07:31:59,50.054449,14.5179378333,
07:32:00,50.0545123333,14.5178035,12.397110873322907
07:32:00,50.0545123333,14.5178035,
07:32:01,50.0545793333,14.5176611667,13.007757840151452
07:32:01,50.0545793333,14.5176611667,
07:32:02,50.0546483333,14.5175133333,13.341633056218619
07:32:02,50.0546483333,14.5175133333,
07:32:03,50.0547188333,14.5173621667,13.579821384476087
07:32:03,50.0547188333,14.5173621667,
07:32:04,50.05479,14.517209,13.695571651987818
07:32:04,50.05479,14.517209,
07:32:05,50.054862,14.5170545,13.766565149395012
07:32:05,50.054862,14.5170545,
07:32:06,50.0549333333,14.5169008333,13.513457897769364
07:32:06,50.0549333333,14.5169008333,
07:32:07,50.0550033333,14.5167498333,13.356551979586797
07:32:07,50.0550033333,14.5167498333,
07:32:08,50.0550738333,14.5166001667,13.392048728290394
07:32:08,50.0550738333,14.5166001667,
07:32:09,50.0551448333,14.5164503333,13.474874475265455
07:32:09,50.0551448333,14.5164503333,
07:32:10,50.0552163333,14.5162998333,13.504712322001811
07:32:10,50.0552163333,14.5162998333,
07:32:11,50.055288,14.5161493333,13.53197794057124
07:32:11,50.055288,14.5161493333,
07:32:12,50.0553598333,14.5159986667,13.539694625072022
07:32:12,50.0553598333,14.5159986667,
07:32:13,50.055432,14.515848,13.531463494937855
07:32:13,50.055432,14.515848,
07:32:14,50.0555038333,14.5156968333,13.504712322001811
07:32:14,50.0555038333,14.5156968333,
07:32:15,50.0555765,14.515547,13.485163387933163
07:32:15,50.0555765,14.515547,
07:32:16,50.0556501667,14.5153986667,13.492880072433946
07:32:16,50.0556501667,14.5153986667,
07:32:17,50.055725,14.5152515,13.505226767635195
07:32:17,50.055725,14.5152515,
07:32:18,50.0558008333,14.5151056667,13.500082311301343
07:32:18,50.0558008333,14.5151056667,
07:32:19,50.0558778333,14.5149616667,13.52066013663676
07:32:19,50.0558778333,14.5149616667,
07:32:20,50.0559563333,14.514819,13.506770104535352
07:32:20,50.0559563333,14.514819,
07:32:21,50.0560361667,14.5146778333,13.513457897769364
07:32:21,50.0560361667,14.5146778333,
07:32:22,50.0561173333,14.5145383333,13.5546135484402
07:32:22,50.0561173333,14.5145383333,
07:32:23,50.0561996667,14.5144003333,13.412112107992428
07:32:23,50.0561996667,14.5144003333,
07:32:24,50.0562795,14.5142641667,13.099329162894065
07:32:24,50.0562795,14.5142641667,
07:32:25,50.056358,14.514132,12.787575109062473
07:32:25,50.056358,14.514132,
07:32:26,50.0564345,14.5140031667,12.445983208494527
07:32:26,50.0564345,14.5140031667,
07:32:27,50.0565091667,14.5138781667,12.142974730430488
07:32:27,50.0565091667,14.5138781667,
07:32:28,50.0565826667,14.5137566667,11.883694131204216
07:32:28,50.0565826667,14.5137566667,
07:32:29,50.0566546667,14.5136375,11.654765824347683
07:32:29,50.0566546667,14.5136375,
07:32:30,50.056725,14.5135206667,11.30134167421187
07:32:30,50.056725,14.5135206667,
07:32:31,50.0567913333,14.5134088333,10.583690015639148
07:32:31,50.0567913333,14.5134088333,
07:32:32,50.0568521667,14.5133056667,9.598012182072598
07:32:32,50.0568521667,14.5133056667,
07:32:33,50.0569061667,14.513213,8.487324059593382
07:32:33,50.0569061667,14.513213,
07:32:34,50.0569543333,14.5131316667,7.4774672812577165
07:32:34,50.0569543333,14.5131316667,
07:32:35,50.0569961667,14.5130605,6.425940406617828
07:32:35,50.0569961667,14.5130605,
07:32:36,50.0570308333,14.5130008333,5.14188410568771
07:32:36,50.0570308333,14.5130008333,
07:32:37,50.0570575,14.5129525,3.9782080829697914
07:32:37,50.0570575,14.5129525,
07:32:38,50.0570778333,14.5129163333,2.94520125113178
07:32:38,50.0570778333,14.5129163333,
07:32:39,50.0570916667,14.512892,1.892131039591736
07:32:39,50.0570916667,14.512892,
07:32:40,50.057099,14.5128788333,0.9383488352950861
07:32:40,50.057099,14.5128788333,
07:32:41,50.0571043333,14.5128758333,0.8421475018520043
07:32:41,50.0571043333,14.5128758333,
07:32:42,50.0571078333,14.5128736667,0.3945798008066508
07:32:42,50.0571078333,14.5128736667,
07:32:43,50.0571108333,14.5128756667,0.596756934727138
07:32:43,50.0571108333,14.5128756667,
07:32:44,50.0571128333,14.5128756667,0.09002798584245617
07:32:44,50.0571128333,14.5128756667,
07:32:45,50.0571141667,14.5128783333,0.4372787883776442
07:32:45,50.0571141667,14.5128783333,
07:32:46,50.057117,14.5128848333,0.7408017120750678
07:32:46,50.057117,14.5128848333,
07:32:47,50.0571168333,14.5128811667,0.2572228166927319
